Player,Pos,Age,Tm,G,MP,FG%,Dist.,...9, at 2P,at 0-3ft, at 3-10ft,at 10-16ft,at 16ft-3P, at 3P,...16,2P%,0-3ft%,3-10ft%,10-16ft%,16ft-3P%,3P%,...23,% at 2P AST'd,% at 3P AST'd,...26,% of Dunk FGA,Dunks,% of Corner 3PA,Corner 3P%,...31,Heaves Att.,Heaves,...34,...35
Xavier Sneed,SF,24,TOT,9,39,0.2,20.9,NA,0.2,0.1,0,0.1,0,0.8,NA,0.5,1,NA,0,NA,0.125,NA,0,1,NA,0,0,NA,0.5,0,NA,0,0,sneedxa01
Tony Snell,SG,30,TOT,53,823,0.404,20,NA,0.251,0.105,0.094,0.035,0.018,0.749,NA,0.558,0.722,0.375,0.5,0.667,0.352,NA,0.75,0.956,NA,0.018,3,NA,0.477,0.361,NA,0,0,snellto01
Nik Stauskas,SG,28,TOT,8,39,0.357,20.7,NA,0.286,0.071,0.071,0.071,0.071,0.714,NA,0.25,0,0,1,0,0.4,NA,1,0.75,NA,0,0,NA,0.5,0.6,NA,0,0,stausni01
Lance Stephenson,PG-SG,31,TOT,46,814,0.455,14.3,NA,0.721,0.22,0.164,0.08,0.257,0.279,NA,0.515,0.662,0.547,0.423,0.398,0.3,NA,0.2,0.593,NA,0.003,1,NA,0.178,0.375,NA,0,0,stephla01
Daniel Theis,C,29,TOT,47,977,0.519,12.4,NA,0.632,0.378,0.134,0.076,0.045,0.368,NA,0.641,0.745,0.59,0.364,0.385,0.308,NA,0.797,0.97,NA,0.189,48,NA,0.252,0.37,NA,1,0,theisda01
Isaiah Thomas,PG,32,TOT,22,333,0.401,16.8,NA,0.503,0.126,0.18,0.132,0.066,0.497,NA,0.464,0.571,0.233,0.636,0.545,0.337,NA,0.487,0.786,NA,0,0,NA,0.241,0.35,NA,0,0,thomais02
Tristan Thompson,PF,30,TOT,57,897,0.528,4.3,NA,0.989,0.487,0.464,0.034,0.004,0.011,NA,0.53,0.608,0.452,0.556,0,0.333,NA,0.657,1,NA,0.157,33,NA,0,NA,NA,2,0,thomptr01
Rayjon Tucker,SG,24,TOT,5,71,0.667,18.2,NA,0.444,0.222,0,0.111,0.111,0.556,NA,0.5,1,NA,0,0,0.8,NA,0,0.5,NA,0.111,1,NA,0.2,1,NA,0,0,tuckera01
Denzel Valentine,SG,28,TOT,24,222,0.379,20.6,NA,0.288,0.061,0.091,0.106,0.03,0.712,NA,0.316,0.75,0.333,0.143,0,0.404,NA,0.333,0.895,NA,0.015,1,NA,0.426,0.45,NA,0,0,valende01
Brad Wanamaker,PG,32,TOT,23,320,0.364,13.4,NA,0.779,0.208,0.208,0.169,0.195,0.221,NA,0.4,0.438,0.438,0.462,0.267,0.235,NA,0.458,1,NA,0,0,NA,0.118,0,NA,1,0,wanambr01
